Label;Y;X
566;140;461
567;141;414
567;141;415
567;141;416
568;141;462
568;141;463
569;142;411
569;142;412
569;142;413
570;142;434
570;142;435
570;142;436
570;142;437
571;142;464
572;143;408
572;143;409
572;143;410
572;144;410
572;144;411
572;144;412
572;144;413
572;144;414
572;144;415
572;144;416
572;144;417
572;144;418
572;144;419
572;144;409
573;143;420
573;143;421
573;143;422
573;143;423
573;143;424
573;143;425
573;143;426
573;143;427
573;143;428
573;143;429
573;143;430
573;143;431
573;143;432
573;143;433
574;143;438
574;144;438
575;143;465
576;144;466
577;145;437
577;146;437
578;145;467
579;146;455
579;146;456
580;146;468
581;147;436
581;148;436
582;147;454
582;148;454
582;149;454
582;150;454
582;151;454
583;147;457
583;147;458
584;147;469
584;147;470
585;148;445
586;148;459
586;148;460
587;148;471
588;149;435
588;150;435
589;149;444
590;149;446
591;149;461
591;149;462
592;149;472
593;150;443
594;150;447
594;151;447
594;152;447
595;150;463
595;150;464
596;150;473
597;151;434
597;152;434
598;151;442
598;152;442
599;151;465
599;151;466
600;151;474
601;152;455
601;153;455
601;154;455
601;155;455
601;156;455
601;157;455
601;158;455
601;159;455
601;160;455
601;161;455
601;162;455
601;163;455
601;164;455
601;165;455
602;152;467
602;152;468
603;152;475
604;153;433
604;154;433
605;153;441
606;153;448
606;154;448
606;155;448
607;153;469
607;153;470
608;153;476
608;153;477
609;154;440
610;154;471
610;154;472
611;154;478
612;155;432
612;156;432
613;155;439
614;155;473
614;155;474
615;155;479
616;156;438
617;156;449
617;157;449
617;158;449
618;156;475
618;156;476
619;156;480
620;157;431
620;158;431
621;157;437
622;157;477
622;157;478
623;157;481
623;158;481
623;158;480
623;158;479
624;158;436
624;159;436
625;159;430
625;160;430
626;159;450
626;160;450
626;161;450
627;160;435
628;161;429
628;162;429
629;161;434
630;162;433
631;162;451
631;163;451
631;164;451
632;163;428
632;164;428
633;163;432
634;164;431
635;165;427
635;166;427
636;165;430
636;166;430
637;165;452
637;166;452
637;167;452
638;166;456
638;167;456
638;168;456
638;169;456
638;170;456
638;171;456
638;172;456
638;173;456
638;174;456
638;174;455
638;175;455
638;175;456
639;167;426
639;168;426
639;169;426
639;169;427
639;169;425
640;167;429
641;168;428
642;168;453
642;169;453
642;170;453
643;171;454
643;172;454
643;173;454
644;196;454
644;196;455
644;197;455
644;198;455
644;199;455
644;200;455
644;201;455
644;202;455
644;197;454
645;198;453
645;199;453
645;200;453
646;200;424
646;200;425
646;201;424
647;201;426
648;201;452
648;202;452
649;202;425
649;203;425
649;204;425
650;202;427
651;203;428
651;204;428
652;203;451
652;204;451
653;203;454
653;204;454
653;205;454
653;206;454
653;207;454
653;208;454
654;205;426
654;206;426
655;205;429
656;205;450
656;206;450
656;207;450
657;206;430
658;207;427
658;208;427
659;207;431
659;208;431
660;208;449
660;209;449
661;209;428
661;210;428
661;211;428
662;209;432
663;209;453
663;210;453
663;211;453
663;212;453
663;213;453
663;214;453
663;215;453
664;210;433
664;211;433
665;210;448
665;211;448
665;212;448
666;212;429
666;213;429
667;212;434
668;213;435
669;213;447
669;214;447
670;214;430
670;215;430
670;216;430
671;214;436
671;215;436
672;215;446
672;216;446
672;217;446
673;215;477
673;215;478
673;215;479
673;216;479
674;216;437
675;216;452
675;217;452
675;218;452
675;219;452
675;220;452
675;221;452
675;222;452
676;216;475
676;216;476
677;217;431
677;218;431
678;217;438
679;217;472
679;217;473
679;217;474
680;217;477
680;217;478
681;218;439
681;219;439
682;218;445
682;219;445
683;218;470
683;218;471
684;218;476
685;219;432
685;220;432
685;221;432
686;219;467
686;219;468
686;219;469
687;219;475
688;220;440
689;220;444
689;221;444
690;220;465
690;220;466
691;220;474
692;221;441
693;221;463
693;221;464
694;221;472
694;221;473
695;222;433
695;223;433
696;222;442
696;222;443
697;222;460
697;222;461
697;222;462
698;222;471
699;223;451
699;224;451
699;225;451
700;223;457
700;223;458
700;223;459
701;223;469
701;223;470
702;224;405
702;224;406
702;224;407
702;224;408
702;224;409
702;224;410
702;224;411
702;224;412
702;225;407
702;225;406
702;225;405
703;224;434
703;225;434
703;226;434
704;224;455
704;224;456
705;224;468
706;225;413
706;225;414
706;225;415
706;225;416
706;225;417
706;225;418
707;225;453
707;225;454
708;225;467
709;226;408
709;226;409
710;226;419
710;226;420
710;226;421
710;226;422
710;226;423
710;226;424
710;226;425
711;226;452
712;226;465
712;226;466
713;227;410
713;227;411
713;227;412
714;227;426
714;227;427
714;227;428
714;227;429
714;227;430
714;227;431
714;227;432
715;227;435
716;227;464
717;228;413
717;228;414
718;228;433
718;228;434
719;228;463
720;229;415
720;229;416
720;229;417
721;229;461
721;229;462
722;230;418
722;230;419
723;230;460
724;231;420
724;231;421
725;231;459
726;232;422
726;232;423
726;232;424
727;232;457
727;232;458
728;233;425
728;233;426
729;233;456
730;234;427
